AE;
AN;
AX;
BX;
CX;
L01;
L02;
L03;
L20;
L21;
L22;
L23;
L24;
L25;
L26;
LEO;
LIC1;
LIC2;
LIC3;
LII;
LPO1;
LPO2;
LPO3;
LPO4;
LPO5;
PV11;
PV12;
PV2;
PV3;
PV4;
PV5;
PV6;
PV7;
PV8;
XL1;
XL2;
XL3;
XL4;
